date,training,tr_min,tr_bpm,tr_hr_zone,bl_repetitions,bl_min,bl_hr,bl_hr_zone
27-Nov-2016,,,,,,,,
28-Nov-2016,,,,,,,,
29-Nov-2016,Bloktraining,60,146-155,2,2,5,166-175,4
29-Nov-2016,,,,,,2,156-165,3
30-Nov-2016,,,,,,,,
1-Dec-2016,Souplessetraining,60,146-155,2,5,2,156-165,3
2-Dec-2016,,,,,,,,
3-Dec-2016,Extensieve duurtraining,135,146-155,2,,,,
4-Dec-2016,,,,,,,,
5-Dec-2016,,,,,,,,
6-Dec-2016,Bloktraining,60,146-155,2,3,5,166-175,4
7-Dec-2016,,,,,,2,156-165,3
7-Dec-2016,,,,,,,,
8-Dec-2016,Souplessetraining,60,146-155,2,2,5,156-165,3
9-Dec-2016,,,,,,,,
10-Dec-2016,Extensieve duurtraining,150,146-155,2,,,,
11-Dec-2016,,,,,,,,
12-Dec-2016,,,,,,,,
13-Dec-2016,Bloktraining,60,146-155,2,4,5,166-176,4
13-Dec-2016,,,,,,2,156-165,3
14-Dec-2016,,,,,,,,
15-Dec-2016,Souplessetraining,60,146-155,2,1,10,156-165,3
16-Dec-2016,,,,,,,,
17-Dec-2016,Extensieve duurtraining,165,146-155,2,,,,
18-Dec-2016,,,,,,,,
19-Dec-2016,,,,,,,,
20-Dec-2016,Extensieve duurtraining,60,146-155,2,,,,
21-Dec-2016,,,,,,,,
22-Dec-2016,Rustdag met optioneel losfietsen,30,125 - 146,,,,,
23-Dec-2016,,,,,,,,
24-Dec-2016,Extensieve duurtraining,105,146-155,2,,,,
25-Dec-2016,,,,,,,,
26-Dec-2016,,,,,,,,
27-Dec-2016,Bloktraining,60,146-155,2,5,5,166-175,4
27-Dec-2016,,,,,,2,156-165,3
28-Dec-2016,,,,,,,,
29-Dec-2016,Souplessetraining,75,146-155,2,5,5,156-165,3
30-Dec-2016,,,,,,,,
31-Dec-2016,Extensive duurtraining,165,146-155,2,,,,
1-Jan-2017,,,,,,,,
2-Jan-2017,,,,,,,,
3-Jan-2017,Bloktraining,90,146-155,2,6,5,166-175,4
4-Jan-2017,,,,,,2,156-165,3
4-Jan-2017,,,,,,,,
5-Jan-2017,Souplessetraining,75,146-155,2,3,5,156-165,3
6-Jan-2017,,,,,,,,
7-Jan-2017,Extensieve duurtraining,180,146-155,2,,,,
8-Jan-2017,,,,,,,,
9-Jan-2017,,,,,,,,
10-Jan-2017,Bloktraining,90,146-155,2,7,5,166-175,4
10-Jan-2017,,,,,,2,156-165,3
11-Jan-2017,,,,,,,,
12-Jan-2017,Souplessetraining,75,146-155,2,1,15,156-165,3
13-Jan-2017,,,,,,,,
14-Jan-2017,Extensieve duurtraining,195,146-155,2,,,,
15-Jan-2017,,,,,,,,
16-Jan-2017,,,,,,,,
17-Jan-2017,Extensieve duurtraining,60,146-155,2,,,,
18-Jan-2017,,,,,,,,
19-Jan-2017,Rustdag met optioneel losfietsen,30,125 - 146,,,,,
20-Jan-2017,,,,,,,,
21-Jan-2017,Extensieve duurtraining,120,146-155,2,,,,
22-Jan-2017,,,,,,,,
23-Jan-2017,,,,,,,,
24-Jan-2017,Extensieve intervaltraining,75,146-155,2,4,4,176-187,5
24-Jan-2017,,,,,,4,133-145,1
25-Jan-2017,,,,,,,,
26-Jan-2017,Tempo duurtraining,60,146-155,2,1,30,156-165,3
27-Jan-2017,,,,,,,,
28-Jan-2017,Extensieve duurtraining,195,146-155,2,,,,
29-Jan-2017,,,,,,,,
30-Jan-2017,,,,,,,,
31-Jan-2017,Extensieve intervaltraining,75,146-155,2,5,4,176-187,5
31-Jan-2017,,,,,,4,133-145,1
